date,site,plant,treatment,corolla_length,corolla_width,style_length,max_anther,min_anther,sepal_width,flyegg,notes
2022-07-27,Ihyb,503,,23.8,,19.5,21.9,20.0,0.8,0,
2022-07-27,Ihyb,703,,33.1,,29.7,29.5,27.7,1.2,0,
2022-07-27,Ihyb,504,,,,,,,,,no flowers (eaten)
2022-07-27,Ihyb,509,,30.3,,24.1,29.6,27.6,1.3,0,
2022-07-27,Ihyb,510,,,,,,,,,no flowers
2022-07-27,Ihyb,737,,25.1,,26.3,23.6,22.7,1.0,0,
2022-07-27,Ihyb,101,,33.4,,19.6,30.5,28.4,0.6,0,
2022-07-27,Ihyb,731,,25.5,,22.7,23.5,20.6,1.0,0,
2022-07-27,Ihyb,513,,28.0,,21.0,25.4,24.1,0.9,0,
2022-07-27,Ihyb,797,,21.1,,24.4,17.9,17.4,1.2,0,
2022-07-27,Ihyb,717,,,,,,,,,no flowers
2022-08-02,Ihyb,101,ambient,32.2,2.6,23.6,32.6,30.5,1.4,0,
2022-08-02,Ihyb,502,ambient,33.5,2.4,24.6,29.6,27.1,1.7,0,
2022-08-02,Ihyb,503,ambient,30.1,2.8,24.2,26.0,25.1,1.3,0,
2022-08-02,Ihyb,509,ambient,31.7,2.6,25.5,,,1.5,0,
2022-08-02,Ihyb,512,ambient,32.3,2.7,26.3,29.9,29.0,1.2,0,
2022-08-02,Ihyb,525,ambient,28.1,2.6,,24.0,,,,
2022-08-02,Ihyb,530,ambient,26.1,2.7,23.5,25.4,24.2,1.3,0,
2022-08-02,Ihyb,531,ambient,31.4,1.9,24.1,27.6,25.5,1.2,0,
2022-08-02,Ihyb,701,nitrogen,38.1,3.1,23.1,32.9,32.4,2.0,0,
2022-08-02,Ihyb,703,water control,35.1,2.8,23.1,29.1,28.9,1.2,0,
2022-08-02,Ihyb,706,nitrogen,30.1,2.9,23.6,24.5,23.9,1.6,0,
2022-08-02,Ihyb,707,water control,34.2,2.9,25.1,30.6,28.7,1.5,0,
2022-08-02,Ihyb,709,water control,36.8,3.7,26.5,32.0,30.6,1.6,0,
2022-08-02,Ihyb,712,water control,28.3,3.2,26.9,24.9,24.5,1.6,0,
2022-08-02,Ihyb,713,water control,29.8,3.1,21.5,29.4,24.1,1.1,0,
